1000 971
9 10 30
1 2 22
4 8 29
4 5 44
3 6 58
10 1 57
9 1 62
2 7 25
10 6 62
5 9 38
3 7 12
7 3 57
3 5 70
6 10 81
4 10 75
7 5 45
9 8 12
6 4 1
2 6 80
6 10 52
9 2 16
2 6 29
1 4 56
7 5 1
10 4 76
5 10 87
9 4 20
9 5 93
4 10 69
4 8 8
5 2 81
10 9 7
8 10 63
7 2 1
4 5 97
2 5 66
7 5 71
10 1 18
4 1 39
2 4 30
8 8 24
3 1 41
6 6 53
3 9 93
2 10 84
1 10 56
10 1 93
7 3 39
10 10 91
6 10 69
9 4 11
6 2 17
9 7 12
7 9 80
10 5 55
10 3 61
8 1 41
5 8 73
7 4 68
9 1 51
2 10 66
4 9 76
8 9 46
4 1 16
2 8 24
7 8 68
6 1 2
2 2 94
9 6 74
8 5 92
2 7 65
10 4 89
5 5 43
10 7 66
6 1 36
10 6 10
7 6 72
4 6 3
8 10 24
5 9 58
1 9 71
2 4 7
10 1 70
2 8 59
5 10 45
7 3 77
3 5 79
2 1 29
2 8 30
3 5 92
7 9 49
9 9 30
1 4 52
5 3 82
4 10 99
4 3 38
9 10 55
8 7 84
10 9 64
7 8 2
3 5 65
10 9 43
7 5 27
8 9 12
1 1 55
9 5 39
5 8 47
4 8 87
3 9 1
6 3 83
2 1 88
9 8 11
8 7 52
6 4 10
2 1 47
5 8 90
4 3 55
4 6 82
5 6 85
9 7 19
6 3 49
6 7 76
2 5 87
3 5 42
1 8 99
4 8 52
5 7 62
10 9 17
8 1 55
2 7 13
3 9 35
3 6 40
3 7 18
2 9 66
1 9 79
3 9 80
2 4 64
2 3 90
7 1 7
3 9 38
7 5 74
7 8 92
2 1 73
4 2 44
10 3 7
8 1 6
7 1 60
5 7 54
8 2 78
7 4 88
7 6 23
5 9 42
2 10 32
9 4 85
9 9 65
9 7 67
3 7 43
3 1 16
5 7 89
9 2 33
7 5 32
9 5 15
6 10 71
7 8 50
3 10 3
8 5 23
7 7 8
10 10 37
8 6 6
6 9 13
4 6 37
1 9 6
1 8 65
9 3 58
4 9 63
5 3 70
5 9 38
7 7 22
9 3 99
3 6 31
9 3 49
10 5 27
3 5 14
6 1 77
4 5 85
10 2 47
6 5 41
1 4 50
9 6 20
1 10 1
8 2 66
